movie_titles,genre,summary
Taxi Driver,Crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew.The former marine Travis Bickle is insomniac and decides to work as taxi driver in the night shift. Travis is a lonely uneducated man that spends his leisure time watching porn films in the theaters. When Travis sees the gorgeous Betsy working as a volunteer in the campaign for president of Senator Charles Palantine, he has a crush on her. He invites Betsy to drink coffee with him and later he dates her. However he takes her to see a porn Swedish movie and she feels offended and leaves him. Travis unsuccessfully sends flowers for her but she rejects him. Travis meets the young prostitute Iris that is trying to flee from her pimp Sport in his taxi but Sport takes her from the car. Travis also buys several weapons from a dealer and practices shooting. When he meets Iris again, he is resolute to help her. Will Travis succeed in his intent?Travis Bickle is a lonely, impotent and insomniac ex-marine, who spends his nights driving his taxi throughout the shadowy streets of mid-70's New York City. Travis is fed up with the society he finds himself surrounded by, wishing that a ""real rain will come and wash all the scum off the streets"". But Travis's personality sees him being unable to connect with virtually anyone, until he becomes infatuated with a blonde campaign worker named Betsy and then later meets an adolescent prostitute named Iris. As Travis grows increasingly more paranoid of his situations, he begins to sees these relationships he develops as 'missions' of which he will need to be the saviour.In the shadow of bustling Big Apple, Travis Bickle--a depressed former U.S. Marine and a chronically insomniac lone wolf--prowls the night streets of the metropolis' dark underbelly in his yellow cab. A nobody amid nobodies against the backdrop of an increasingly distorted perceived reality, Travis delves deeper and deeper into his world of obsession and vitriolic revulsion, as an endless string of bitter rejections from unobtainable objects of desire; condemned young souls, and even his colleagues, can only lead to a flaming manifesto of violence. Now, as Travis braces up to clean up this filthy city, his hungry and lethal weapons will become the grim messengers of truth. His truth.New York City taxi driver Travis Bickle constantly, almost obsessively, reflects on the ugly corruption of life around him, and becomes increasingly disturbed over his own loneliness and alienation. In nearly every phase of his life, he remains a complete outsider, failing to make emotional contact with anyone. Unable to sleep night after night, he haunts the local pornography emporiums to find diversion, and begins desperately thinking about an escape from his depressing existence."
Serpico,Crime,"An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.Serpico is a cop in the 1960s-early 1970s. Unlike all his colleagues, he refuses a share of the money that the cops routinely extort from local criminals. Nobody wants to work with Serpico, and he's in constant danger of being placed in life threatening positions by his ""partners"". Nothing seems to get done even when he goes to the highest of authorities. Despite the dangers he finds himself in, he still refuses to 'go with the flow', in the hope that one day, the truth will be known.In the 1960s In New York City, the idealistic Italian descendant Frank Serpico joins the New York Police Department and on his first day, he learns that his colleagues are dirty, sharing money received from the extortion of criminals. Serpico refuses to receive the money and reports to a superior. Along the years, his superior does not take any attitude against the corruption and Serpico is an outcast police officer, rejected by his fellows. Further, his personal life is affected and he is harassed and threatened by his colleagues. In 1971, in a drug bust, Serpico is betrayed and shot in the face. He recovers with minor consequences and testifies to the Knapp Commission about the police corruption. Finally, Switzerland gives political asylum to him and he moves to that country.Frank Serpico is a young, inexperienced cop who starts out on patrol. Later, he starts to work as an undercover cop who busts all sorts of criminals, but mostly drug dealers and pushers. Since Serpico is a young man living in the 1960s and early 1970s, he lives as one. His image, based on how others look on him, shows him as just a 'hippie' and the criminals he busts have no idea he is really an undercover officer. Everything is working out well, except the money situation. Serpico refuses to accept money, as the other officers do. He feels this isn't right, and wants to expose the situation. Who he thought were his friends now turn into his enemies when Serpico takes the stand on a grand jury investigation. He continues to work undercover, and his life is placed into jeopardy at the hands of his colleagues.Biopic of the New York City detective whose anti-corruption efforts in the 1960s and early 1970s led to the creation of the Knapp Commission and the uncovering of widespread corruption of police officials at all levels. All of his life, Frank Serpico had wanted to be a policeman. He learns at an early stage in his career however that even the cop on the beat is somewhat corrupt accepting free meals and the like. As he advances in his career he finds that corruption is rampant, particularly in the Plainclothes Division, where they collect more in graft that they do in salary. His refusal to take any money puts him in bad stead with his colleagues to the point that his life may be in danger. Transferred to the Narcotics Squad, he is shot by a drug dealer when his partners fail to support him. Serpico resigned from the NYPD in 1972."
Jodaeiye Nader az Simin,Drama,"A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.Nader (Payman Maadi) and Simin (Leila Hatami) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter.When his wife Simin (Leila Hatami) leaves him, Nader ('Peyman Moadi') hires a young woman Razieh (Sareh Bayat) to take care of his suffering father (Ali-Asghar Shahbazi). But he doesn't know his new maid is not only pregnant, but also working without her unstable husband's (Shahab Hosseini) permission. Soon, Nader finds himself entangled in a web of lies manipulation and public confrontations.An Iranian couple has a tough decision to make: Simin wants the family to live abroad to better the chances in life for their only daughter, Termeh. Nader, however, insists on staying in Iran to take care of his father, who suffers from Alzheimer's disease. The argument leaves the couple but one choice: divorce. But the consequences may go far beyond anything they had ever expected...Nader and Simin, a middle class Iranian couple with an eleven year old daughter named Termeh, are on the verge of divorce. They love each other, but Simin, with exit visas for the family only good for the next forty days, wants to leave Iran permanently to a better life especially for Termeh. Nader, however, refuses to go as his father suffers from Alzheimer's and Nader will not leave him behind despite he probably not knowing who Nader is most of the time. As such, Simin moves out of their home and back in with her own parents. Termeh, however, stays with her father as she sees this action as a way to bring her parents back together. As Nader's father requires around the clock supervision, Nader, on a suggestion from Simin about a family member of an acquaintance, hires a man named Hojjat to be his father's caregiver when he's at work during the day. However, on Hojjat's first day in this position, he can't make it. Instead, Hojjat's wife, Razieh, with their infant daughter Somayeh, shows up to do the work as they desperately need the money. A few days in with Razieh having so far done all the work for an absent Hojjat, an incident occurs between Nader and Razieh, the results from which threaten both their standing in the community. With their respective spouses and children among others thrown into the mix, each individual has made up his or her mind about what is the best thing to do for his or herself, which is often at cross purposes to the others. These decisions take into consideration justice, humanity and/or individual well-being."
Jaws,Horror,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.It's a hot summer on Amity Island, a small community whose main business is its beaches. When new Sheriff Martin Brody discovers the remains of a shark attack victim, his first inclination is to close the beaches to swimmers. This doesn't sit well with Mayor Larry Vaughn and several of the local businessmen. Brody backs down to his regret as that weekend a young boy is killed by the predator. The dead boy's mother puts out a bounty on the shark and Amity is soon swamped with amateur hunters and fisherman hoping to cash in on the reward. A local fisherman with much experience hunting sharks, Quint, offers to hunt down the creature for a hefty fee. Soon Quint, Brody and Matt Hooper from the Oceanographic Institute are at sea hunting the Great White shark. As Brody succinctly surmises after their first encounter with the creature, they're going to need a bigger boat.When a young women is killed out on the ocean, Cheif Police Martin Brody believes it was the works of a shark. Mayor Larry Vaughn refuses to close the beaches, which leads up to several deaths. With the help of archaeologist Matt Hooper and Captain Quint, Brody attempts to hunt down the shark.Martin Brody is the new police chief of Amity, an island town somewhere in New England. He has a wife named Ellen, and two sons named Michael and Sean. On a Summer morning, Brody is called to the beach, where the mangled body of Summer vacationer Chrissie Watkins has washed ashore. The medical examiner tells Brody that it could have been a shark that killed Watkins. Mayor Larry Vaughn, who is desperate to not lose the money that will be brought in by 4th of July tourists, wants Brody to say Watkins's death was caused by a motorboat propeller instead of a shark, because the thought of a shark in Amity's waters would drive tourists away from Amity. It looks like Vaughn is a mayor who puts money ahead of people's lives. Shark expert Matt Hooper believes Watkins was killed by a shark. Hooper is proven right a few days later, when Alex Kintner is killed by the shark that killed Watkins. Looking for the quickest solution, Vaughn tells all of the local fishermen to let him know if they see the shark. A shark hunter named Quint offers to find the shark and kill it, but Vaughn thinks Quint's price of $10,000 is too high. When a tiger shark is killed and hauled in by a couple of boaters, Vaughn hastily says that the shark crisis is over, but Hooper says the shark that's been killing people a huge great white shark is still in Amity's waters. However, Vaughn leaves the beaches opened because all he cares about is the 4th of July tourist money. On the 4th of July, Vaughn encourages people to swim at the beach, and Hooper is proven right again when the shark kills a man, biting the man's leg off. Michael, who was in the water at the time of the attack, is taken to the hospital, where he's treated for shock after watching the shark kill the guy. Brody asks Vaughn to hire Quint to find the shark. Because his own kids were at that beach too, Vaughn agrees to hire Quint to find the shark. Quint, Hooper, and Brody are sent out to sea in Quint's boat, the Orca, ready to do whatever it takes to find the shark.The peaceful community of Amity island is being terrorized. There is something in the sea that is attacking swimmers. They can no longer enjoy the sea and the sun as they used to, and the spreading fear is affecting the numbers of tourists that are normally attracted to this island. After many attempts the great white shark won't go away and sheriff Brody, with friends Hooper and Quint decide to go after the shark and kill it.A Great White Shark decides to make the small beach resort town of Amity his private feeding grounds. This greatly frustrates the town police chief who wants to close the beaches to chase the shark away. He is thwarted in his efforts by the town's mayor who finally relents when nothing else seems to work and the chief, a scientist, and an old fisherman with revenge on his mind take to the sea to kill the beast."
The Prestige,Sci-Fi,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.In the end of the nineteenth century, in London, Robert Angier, his beloved wife Julia McCullough, and Alfred Borden are friends and assistants of a magician. When Julia accidentally dies during a performance, Robert blames Alfred for her death, and they become enemies. Both become famous and rival magicians, sabotaging the performance of the other on the stage. When Alfred performs a successful trick, Robert becomes obsessed trying to disclose the secret of his competitor with tragic consequences.Set in London in the 1800s, two rival magicians read each others diary containing the secrets of their magic tricks and personal life. As we go back in time when the diaries were written, both magicians become obsessed with their rival's best trick. The tricks, as shown to the audience, look the same, but neither magician can figure out how his opponent does it.Two magicians, who used to be partners, battle over years in order to create a flawless method for the ultimate disappearing trick, ""the Transported Man"", turns into an informal war between them, and soon, they will do anything to be able to preform the trick sooner and better than the other; which as time passes makes their friends and loved ones get away from them, and little-by-little destroys their lives until they eventually succeed to preform the trick, each by a very different way.In nineteenth century London, illusionist Alfred Borden is on trial for the murder of fellow illusionist, Robert Angier. Borden's indictment is largely possible because of the eyewitness account of John Cutter, who saw Borden backstage in the area where Angier was killed. At the end of one of his shows, Angier fell through a trap door in the stage floor into a clear water-filled tank below, that tank which was a prop for one of Angier's tricks performed earlier in the show. Angier ended up drowning, as the tank was locked after he fell into it. Borden, Angier, and Cutter have a shared largely turbulent history, which also provides motive. Early in their magic careers, both Borden and Angier worked under ""Milton the Magician"", while Angier's wife Julia worked as his on-stage assistant, and Cutter as his ingénieur, staging the tricks and providing the apparatus required, work that he still does for others. Based on a specific incident during this stage of their relationship led to both Borden and Angier striking out, creating their own shows, and them having a feud, which was not only in the professional realm, but a personal one, where each man wanted to ruin the other. While Borden is arguably more accomplished in the technical aspects of the illusions, Angier is the more accomplished showman. In the professional realm, they tried to outdo each other, especially in the illusions considered either the most dangerous and/or mysterious, those two being catching-the-bullet trick, and more so, the transported man trick. In the process of their feud, they seemingly were not averse to any means, even with collateral damage of others. The question is if those means extend to murder, especially of the other.Illusionists Angier & Borden were once stage partners, but when a trick goes tragically wrong the pair form an intense rivalry which endangers the lives of their loved ones. The Prestige is an intricate tale of obsession, jealousy and deception.A mysterious story of two magicians, whose intense rivalry leads them on a life-long battle for supremacy, full of obsession, deceit, and jealousy, with dangerous and deadly consequences. From the time that they first met as young magicians on the rise, Robert Angier and Alfred Borden were competitors. However, their friendly competition evolves into a bitter rivalry making them fierce enemies-for-life, and consequently jeopardizing the lives of everyone around them. Set against the backdrop of turn-of-the-century London."
The Grand Budapest Hotel,Comedy,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.This movie recounts the adventures of M. Gustave (Ralph Fiennes), a legendary concierge at a famous European hotel between the wars, and Zero Moustafa (Tony Revolori), the lobby boy who becomes his most trusted friend. The story involves the theft and recovery of a priceless Renaissance painting and the battle for an enormous family fortune - all against the backdrop of a suddenly and dramatically changing continent.A teenage girl visits the monument of the writer who penned the book, ""The Grand Budapest Hotel"". In 1968, that author was inspired to write the book when he visited that hotel, located in the European mountainous country formerly known as Zubrowka. Once a luxurious hotel, it, in 1968, has fallen on hard times. The author meets the then current owner, Mr. Zero Moustafa (F. Murray Abraham), who recounts the story of how he became the hotel's owner and why he holds onto it and keeps it open despite it obviously making him no money. Zero's story begins in 1932, when the hotel was in its golden era. Zero (Tony Revolori) was the novice immigrant lobby boy, who, like all the other hotel staff, was under the guidance of M. Gustave (Ralph Fiennes), the devoted concierge. Gustave aimed to please, he giving the guests whatever they wanted, especially the wealthy blonde women. The story largely revolves around one of those women, the wealthy Madame Céline Villeneuve Desgoffe-und-Taxis - better known as Madame D. (Tilda Swinton) - her opportunistic son Dmitri (Adrian Brody), the bequeathing of a valuable painting called ""Boy with Apple"" to Gustave, the mysterious circumstances surrounding her death which is initially pinned on Gustave, and the attempts of Zero, his girlfriend - a baker's assistant named Agatha (Saoirse Ronan) - and others to clear Gustave's name while Dmitri does whatever he needs to get what he believes is rightfully his, namely the painting.A writer travels to the decadent Grand Budapest Hotel in the mountains of the Republic of Zubrowka and he meets the owner Mr. Zero Moustafa (F. Murray Abraham), who is a very simple man. Zero invites the author to have dinner with him and he tells his story and how he became the owner of the hotel. In 1932, in the glorious days of the Grand Budapest Hotel, Zero Moustafa (Tony Revolori) is hired to work as lobby boy under the command of the legendary concierge M. Gustave (Ralph Fiennes), who becomes his friend. Gustave efficiently manages the hotel and staff and also attends the sexual needs of the old ladies lodged at the hotel. He spends one night with Madame Céline Villeneuve Desgoffe-und-Taxis, a.k.a. Madame D. (Tilda Swinton) and soon he learns that she was found dead at home. Gustave summons Zero to travel with him to the funeral and he learns that he has inherited the valuable painting ""Boy with Apple"". Madame D's son Dmitri (Adrian Brody) and her family do not accept that a concierge may have inherited the painting and Gustave and Zero steal it and return to the Grand Budapest Hotel. Gustave promises Zero that he would be his heir for helping him. But Gustave is falsely accused of murdering Madame D. and is arrested and imprisoned. Will his friend Zero let him die in prison?In the far reaches of Eastern Europe in the former Republic of Zubrowka, there once was the Grand Budapest hotel. A writer remembers a stay at the hotel during the off season many years ago and recalls the tales he heard of the hotel's past from the elderly owner, Mr. Zero Moustafa (F. Murray Abraham). He tells the young writer about how he came to acquire the hotel and of the original concierge of the Grand Budapest, M. Gustave (Ralph Fiennes). Young Zero (Tony Revolori) was a lobby boy at the time and accompanies Gustave to the reading of a will after one of their regular guests dies. She leaves Gustave a valuable painting, but when the woman's son challenges the will, Gustave and Moustafa steal the painting setting off a series of events that will lead to Moustafa's present circumstance.In the 1930s, The Grand Budapest Hotel is a popular European ski resort, presided over by concierge M. Gustave (Ralph Fiennes). Zero Moustafa (Tony Revolori), a junior lobby boy, becomes Gustave's friend and protégé. Gustave prides himself on providing first-class service to the hotel's guests, including satisfying the sexual needs of the many elderly women who stay there. When one of Gustave's lovers dies mysteriously, Gustave finds himself the recipient of a priceless painting and the chief suspect in her murder.M. Gustave (Ralph Fiennes), the famous concierge at a legendary hotel situated in the Alps during the 1930s becomes the center of a farcical whirlwind of suspicion when one of his institution's oldest and richest patrons turns up dead, and she suspiciously leaves him her most priceless work of art - a Renaissance painting of a boy with an apple. Infuriated that she left anything of value to anyone else, the woman's greedy and nefarious heir uses all manner of underhanded and illegal tactics to pin her death on Gustave and to silence anyone who questions his objective of inheriting every penny of her estate, leaving Gustave's trusted lobby boy Zero Moustafa (Tony Revolori) to clear Gustave's name and prove that the grand lady's killer is none other than her own son, Dmitri (Adrian Brody)."
Goodfellas,Crime,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?This film views the mob lives of three pivotal figures in the 1960's and 70's New York. Henry Hill is a local boy turned gangster in a neighborhood full of the roughest and toughest. Tommy DeVito is a purebred gangster, who turns out to be Henry's best friend. Jimmy Conway puts the two of them together, and runs some of the biggest hijacks and burglaries the town has ever seen. After an extended jail sentence, Henry must sneak around the back of the local mob boss, Paulie Cicero, to live the life of luxury he has always dreamed of. In the end, the friends end up in a hell of a jam, and must do anything they can to save each other, and stay alive.The story of Irish-Italian American, Henry Hill, and how he lives day-to-day life as a member of the Mafia. Based on a true story, the plot revolves around Henry and his two unstable friends Jimmy and Tommy as they gradually climb the ladder from petty crime to violent murders.The lowly, blue-collar side of New York's Italian mafia is explored in this crime biopic of wiseguy Henry Hill. As he makes his way from strapping young petty criminal, to big-time thief, to middle-aged cocaine addict and dealer, the film explores in detail the rules and traditions of organized crime. Watching the rise and fall of Hill and his two counterparts, the slick jack-of-all-trades criminal Jimmy Conway and the brutish, intimidating Tommy DeVito, this true story realistically explores the core, blue-collar part of the mob."
Carlito's Way,Horror,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.A Puerto Rican ex-con pledges to stay away from his former drug dealing ways but finds himself being dragged back by his past connections and the naive machinations of his lawyer and best friend. Hoping to raise enough money to get away from New York, Carlito Brigante takes on the job of running a nightclub, renews an affair with a dancer but old associates and old instincts suck him back into a world of violence and mistrust.Carlito has just gotten out of prison due to technicalities with the help of his sleazy lawyer. After a life spent trafficking heroin he decides not to pursue the life of the streets. He buys into a night club and begins saving money to move to the Bahamas, but his presence as a known player makes it inevitable that he get sucked back into his violent former life.Finally released from prison, Carlito Brigante has vowed that he will not go back to the life he once had. His move to a new life isn't easy, as Carlito must resist every taunt and every opportunity back into his old lifestyle. He meets up with his old love, Gail who shows him the person he can be in a happy life, but his good friend and lawyer, David Kleinfeld is having problems of his own and would love the help he could gain from the legend known as Carlito.Carlito Brigante is released from jail after serving five years of a much longer stretch. He vows to go straight and to live life as a fine, upstanding citizen. He even rekindles a romance with his ex-lover. However, Carlito's associates cannot seem to leave him in peace...his nephew involves him a pool-room gunfight, his lawyer asks him for ""favors"" which spiral out of control, and even an old friend tries to get him into trouble with the law. Carlito decides to make a run for Florida and the promise of a new life, but has one final dramatic escape to make from some hoods who believe (wrongly) that he was behind the murder of their boss."
Green Book,Comedy,"A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.In 1962, Tony ""Tony Lip"" Vallelonga, a tough bouncer, is looking for work when his nightclub is closed for renovations. The most promising offer turns out to be the driver for the African-American classical pianist Don Shirley for a concert tour into the Deep South states. Although hardly enthused at working for a black man, Tony accepts the job and they begin their trek armed with The Negro Motorist Green Book, a travel guide for safe travel through America's racial segregation. Together, the snobbishly erudite pianist and the crudely practical bouncer can barely get along with their clashing attitudes to life and ideals. However, as the disparate pair witness and endure America's appalling injustices on the road, they find a newfound respect for each other's talents and start to face them together. In doing so, they would nurture a friendship and understanding that would change both their lives.New York City bouncer Frank ""Tony Lip"" Vallelonga is searching for new employment after his nightclub is closed for renovations, eventually landing an interview as a driver for ""Doc"" Don Shirley, a famed pianist. Their first encounter does not go well, as Tony's flippant, uncultured behavior clashes with Don's sophisticated, reserved demeanor. However, Don eventually hires Tony on the strength of others' word, as he needs someone who can help him stay out of trouble during an eight-week concert tour through the Deep South. They embark with plans to return home on Christmas Eve. Tony is given a copy of the Green Book by Don's record studio: a guide for black travelers to find safe havens throughout the segregated South. They begin the tour in the Midwest before eventually heading further south. Tony and Don clash over their differences, as Tony feels uncomfortable being asked to act properly, while Don is disgusted by Tony's habits. Regardless, Tony finds himself impressed with Don's talent on the piano, and increasingly disgusted by the discriminatory treatment the latter receives by the hosts when he is not on stage. After a bar incident leads to a group of white men threatening Don's life, Tony rescues him by threatening to pull a gun on them. He instructs Don not to go out without him for the rest of the tour.Dr Don Shirley is a world-class African-American pianist, who is about to embark on a concert tour in the Deep South in 1962. In need of a driver and protection, Shirley recruits Tony Lip, a tough-talking bouncer from an Italian-American neighbourhood in the Bronx. Despite their differences, the two men soon develop an unexpected bond while confronting racism and danger in an era of segregation.In early-1960s openly and legally segregated America, two polar opposites--the distinguished and refined African-American classical pianist, Don Shirley, and the uncultivated Italian-American nightclub bouncer, Tony Vallelonga--are about to form an unlikely friendship. With New York's Copacabana Club being renovated, Don and his new problem-solver chauffeur embark on a lengthy two-month concert tour through the hostile Deep South, equipped only with a subtly tremendous talent, a serenely resilient dignity, and a little vert guide book for visitors--The Negro Motorist Green-Book. Before endless kilometres of unfriendly territory, a single man chooses the hard way for the sake of progress; however, can one person make a difference?October, 1962. Italian-American Bronx native Tony Vallelonga - long called Tony Lip by those that know him for being able to BS his way out of anything - largely uses that ability to BS, his street smarts and his fists to do his job in ""customer relations"" (i.e. a glorified bouncer) at the Copa, where he has to deal with well dressed toughs and thugs, albeit with a smile and often without they knowing that he is screwing them. Like most of his Italian-American friends and family, he is a working class bigot, as demonstrated by his actions concerning some black laborers who did work in his and his wife Dolores' apartment. With the Copa closed for renovations until the new year, Tony has to find another job in the interim, he, without telling Dolores, pawning some of his valuables in the meantime to put food on their and their two adolescent sons' table. When he is given the inside scoop on a job working for Dr. Don Shirley, he only did not know before meeting Dr. Shirley that the Dr. refers to his multiple Ph.D.s, and that he is a classically trained pianist (the head of the popular music playing Don Shirley Trio) instead of a physician, but arguably most importantly that he is a well educated, wealthy and refined black man. The job is not only as chauffeur as Tony initially thought, but to be his all-expenses and well paid general foot soldier, especially in the area of security, for the eight week tour he has arranged for the trio with his record label, much of that tour in the Deep South (the last scheduled date being December 23rd in Birmingham, Alabama) hence the need for especially that security in he being black. Renegotiating the terms, learning that Dr. Shirley actually recruited him based on his reputation for being able to get the job done, and getting the okay from Dolores in the stipulation that he make it home for Christmas or else, Tony accepts the job. Beyond the obvious hazards of the race relations aspect of the job once they get to the Deep South, they will not only have to get over their own differences as humans in their moral and ethical values to survive with each other for eight weeks, but deal with the general role reversal of the uneducated white man being subservient to the well-educated black man. In that aspect, Dr. Shirley may have other issues in the Deep South as not fitting into either the white or black populations in general."
Little Miss Sunshine,Comedy,"A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.In Albuquerque, Sheryl Hoover brings her suicidal brother Frank to the breast of her dysfunctional and emotionally bankrupted family. Frank is homosexual, an expert in Proust. He tried to commit suicide when he was rejected by his boyfriend and his great competitor became renowned and recognized as number one in the field of Proust. Sheryl's husband Richard is unsuccessfully trying to sell his self-help and self-improvement technique using nine steps to reach success, but he is actually a complete loser. Her son Dwayne has taken a vow of silence as a follower of Nietzsche and aims to be a jet pilot. Dwayne's grandfather Edwin was sent away from the institution for elders (Sunset Manor) and is addicted in heroin. When her seven-year-old daughter Olive has a chance to dispute the Little Miss Sunshine pageant in Redondo Beach, California, the whole family travels together in their old Volkswagen Type 2 (Kombi) in a funny journey of hope of winning the talent contest and to make a dream come true.When 7 year-old Olive Hoover learns that she's qualified for the the little Miss Sunshine contest the entire family sets off in their VW camper van for the trip from Albuquerque to California. The family includes her reasonably sane mother Sheryl; her father Richard, a motivational speaker who is stressing over whether his book will be published; her brother Dwayne who is into Nietzsche and has taken a vow of silence and hasn't said a word in 9 months; her grandpa Edwin Hoover who likes to cuss; and her uncle Frank Ginsburg - Sheryl's brother - who recently tried to commit suicide. Along the way, the van breaks down, Richard learns his book won't be published and they forget Olive at a gas station. They face grief along the way but they get Olive to the pageant on time - even if the pageant itself doesn't quite go as planned.Olive is a little girl with a dream: winning the Little Miss Sunshine contest. Her family wants her dream to come true, but they are so burdened with their own quirks, neuroses, and problems that they can barely make it through a day without some disaster befalling them. Olive's father Richard is a flop as a motivational speaker, and is barely on speaking terms with her mother. Olive's uncle Frank, a renowned Proust scholar, has attempted suicide following an unsuccessful romance with a male graduate student. Her brother Dwayne, a fanatical follower of Nietzsche, has taken a vow of silence, which allows him to escape somewhat from the family whose very presence torments him. And Olive's grandfather is a ne'er-do-well with a drug habit, but at least he enthusiastically coaches Olive in her contest talent routine. Circumstances conspire to put the entire family on the road together with the goal of getting Olive to the Little Miss Sunshine contest in far off California.The Hoover family is the dictionary definition for the word ""dysfunctional"". The dad Richard is a man who gives lectures on winners and losers, the wife is Sheryl, a chain-smoking, frazzled wife and working mother whose idea of a home cooked meal frequently consists of a bucket of chicken. Her gay brother Frank recently attempted suicide. The grandpa is Edwin, a drug addict. The son is Dwayne a rebel who has vowed not to talk until he gets into the Air Force. And then there is Olive, a seven-year old girl who dreams of going to the Little Miss Sunshine pageant. So what happens when they do?Olive Hoover, a seven year old girl, has one goal: to win a beauty pageant. Her heroin-addicted grandfather is her coach, and when she becomes a finalist in the Little Miss Sunshine pageant, her whole family takes on the road in an old run-down VW. The trip is anything but smooth; her father Richard is struggling to promote his self-help program, with no success, mother Sheryl is trying to simply keep her family happy and together, her brother Dwayne will not to speak until he joins the Air Force academy and, to quote himself, ""hates everyone,"" and her uncle Frank must come with them after attempting suicide when he fell in love with one of his male graduate students. The first in a long run of disasters is the bus breaking down, causing them all to push it to get the trip started. There are MANY more things, however, which hinder Olive's Little Miss Sunshine career."
On the Waterfront,Horror,"An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.A longshoreman and ex boxer named Terry Malloy witnesses a murder perpetrated by his corrupt union. When a beautiful young woman comes into the picture that just so happens to be the murdered man's sister, Terry feels obligated to stand up to his bosses as a result of his recent relations with her.Terry Malloy is an ex prize-fighter who works on the docks doing errands for corrupt union boss ""Friendly Johnny"". After witnessing the murder of one of the dock men, he takes a second look into the men he is working for. He feels guilty about the death of the young man after falling for his sister and meeting ""Father Barry"" in his campaign to take down the evil longshoremen union bosses in the courts.Dockworker Terry Malloy had been an up-and-coming boxer until powerful local mob boss Johnny Friendly persuaded him to throw a fight. When a longshoreman is murdered before he can testify about Friendly's control of the Hoboken waterfront, Terry teams up with the dead man's sister Edie and the streetwise priest Father Barry to testify himself, against the advice of Friendly's lawyer, Terry's older brother Charley.The Waterfront Crime Commission is about to hold public hearings on union crime and underworld infiltration. As workers are turned against each other, Terry Malloy inadvertently participates in the murder of fellow longshoreman Joey Doyle. Union boss Johnny Friendly orchestrates the murder along with other illegal dockside activities, aided by Terry's brother Charley. Terry begins to feel pangs of conscience. When Joey's sister Edie sees more in Terry than he sees in himself and Father Barry urges him on, Terry reassesses his past and begins to regain responsibility for his actions."
